Simulation 13, V_0, V_1, V_2, MP_
Initial Goals, [18  0  4  0  0], [ 0 11  0 17  0], [ 0  8 12  0  8], [18 11 12 17  8]
Goals Achieved, [16  0  0  0  0], [ 0  6  0 17  0], [0 3 3 0 7], [2 5 9 0 1]

Simulation 21, V_0, V_1, V_2, MP_
Initial Goals, [18  0  4  0  0  0  0  0  0  0], [ 0  0  0 17  0  0  0 10  0  0], [5 0 8 0 0 0 0 0 0 0], [18  0  8 17  0  0  0 10  0  0]
Goals Achieved, [18  0  3  0  0  0  0  0  0  0], [ 0  0  0 17  0  0  0 10  0  0], [5 0 7 0 0 0 0 0 0 0], [0 9 1 0 0 0 0 0 4 1]

Simulation 23, V_0, V_1, V_2, MP_
Initial Goals, [ 0  0  0 10  4  5  0  5  0  1], [3 0 0 0 0 8 0 9 1 0], [ 0  0  5  6 10  0  6  0  7  0], [ 3  0  5 10 10  8  6  9  7  1]
Goals Achieved, [ 0  0  0 10  4  4  0  5  0  0], [3 0 0 0 0 7 0 9 0 0], [ 0  0  5  6 10  0  5  0  3  0], [0 0 0 0 0 1 1 0 4 8]

Simulation 4, V_0, V_1, V_2, MP_
Initial Goals, [9 0 0 0 0], [13  0  0  0  0], [0 0 0 0 7], [13  0  0  0  7]
Goals Achieved, [8 0 0 0 0], [12  0  0  0  0], [0 0 0 0 7], [ 1 10  0  8  0]

Simulation 11, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0], [0 6 0 9 0], [0 4 6 0 4], [9 6 6 9 4]
Goals Achieved, [0 0 0 0 0], [0 5 0 9 0], [0 3 1 0 3], [9 1 5 0 1]

Simulation 30, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 5 3 2 0 4 4 0], [0 0 2 5 4 0 4 5 0 1], [0 1 2 0 4 4 2 3 0 4], [0 1 2 5 4 4 4 5 4 4]
Goals Achieved, [0 0 0 5 3 2 0 4 3 0], [0 0 0 5 4 0 4 5 0 1], [0 1 0 0 4 4 2 3 0 4], [5 0 9 0 0 0 0 0 1 0]

Simulation 22, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 5 2 3 0 3 0 1], [2 0 0 0 0 4 0 5 1 0], [0 0 3 3 5 0 3 0 4 0], [2 0 3 5 5 4 3 5 4 1]
Goals Achieved, [0 0 0 5 2 2 0 3 0 0], [2 0 0 0 0 3 0 5 0 0], [0 0 3 3 5 0 3 0 0 0], [ 0  0  0  0  0  1  0  0  9 10]

Simulation 9, V_0, V_1, V_2, MP_
Initial Goals, [18  0  4  0  0], [ 0  0  6 17  0], [0 8 0 0 5], [18  8  6 17  5]
Goals Achieved, [10  0  2  0  0], [ 0  0  4 17  0], [0 6 0 0 0], [8 2 2 0 9]

Simulation 8, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0], [ 0  0 12 11  0], [ 0  4  0  0 11], [ 9  4 12 11 11]
Goals Achieved, [0 0 2 0 0], [ 0  0 12 11  0], [0 4 0 0 1], [10  0  0  0 10]

Simulation 12, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0], [0 6 0 9 0], [ 0 15  6  0 13], [ 9 15  6  9 13]
Goals Achieved, [0 0 0 0 0], [0 1 0 9 0], [ 0 10  1  0 12], [9 5 5 0 1]

Simulation 2, V_0, V_1, V_2, MP_
Initial Goals, [5 0 0 0 0], [1 0 0 0 0], [0 0 0 0 4], [5 0 0 0 4]
Goals Achieved, [4 0 0 0 0], [0 0 0 0 0], [0 0 0 0 4], [ 1 10  0  0  0]

Simulation 19, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0 0 0 0 0 0], [0 0 0 9 0 0 0 5 0 0], [3 0 4 0 0 0 0 0 0 0], [9 0 4 9 0 0 0 5 0 0]
Goals Achieved, [9 0 0 0 0 0 0 0 0 0], [0 0 0 9 0 0 0 5 0 0], [3 0 0 0 0 0 0 0 0 0], [ 0  9 10  0  0  0  0  0  0  1]

Simulation 20, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0 0 0 0 0 0], [ 0  0  0 11  0  0  0  5  0  0], [3 0 4 0 0 0 0 0 0 0], [ 9  0  4 11  0  0  0  5  0  0]
Goals Achieved, [9 0 0 0 0 0 0 0 0 0], [ 0  0  0 11  0  0  0  5  0  0], [3 0 0 0 0 0 0 0 0 0], [ 0  9 10  0  0  0  0  0  0  1]

Simulation 39, V_0, V_1, V_2, MP_
Initial Goals, [10  0  0  0  0  4  3  0  0  0  5  0  1  0  3], [ 8  0  0  0  0  3  8  6  0  0  0  1  0 10  0], [2 0 0 9 0 9 0 2 0 0 0 2 0 2 0], [10  0  0  9  0  9  8  6  0  0  5  2  1 10  3]
Goals Achieved, [10  0  0  0  0  4  3  0  0  0  5  0  1  0  3], [8 0 0 0 0 3 8 6 0 0 0 1 0 9 0], [2 0 0 9 0 9 0 2 0 0 0 2 0 1 0], [ 0  0 10  0  9  0  0  0  0  0  0  0  0  1  0]

Simulation 35, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 0 0 0 0 6 0 0 0 0 0 0 5], [0 0 4 0 0 0 0 3 0 0 0 0 3 0 0], [0 7 0 0 0 9 0 0 0 0 0 0 0 5 0], [0 7 4 0 0 9 0 6 0 0 0 0 3 5 5]
Goals Achieved, [0 0 0 0 0 0 0 6 0 0 0 0 0 0 4], [0 0 4 0 0 0 0 3 0 0 0 0 3 0 0], [0 7 0 0 0 9 0 0 0 0 0 0 0 5 0], [10  0  0  0  0  0  0  0  9  0  0  0  0  0  1]

Simulation 6, V_0, V_1, V_2, MP_
Initial Goals, [5 0 1 0 0], [0 0 2 5 0], [0 2 0 0 2], [5 2 2 5 2]
Goals Achieved, [0 0 1 0 0], [0 0 2 5 0], [0 2 0 0 0], [10  0  0  0 10]

Simulation 26, V_0, V_1, V_2, MP_
Initial Goals, [2 0 2 1 0 0 5 0 0 0], [0 5 2 0 0 2 3 0 0 4], [0 4 3 4 0 0 4 5 0 0], [2 5 3 4 0 2 5 5 0 4]
Goals Achieved, [1 0 1 1 0 0 5 0 0 0], [0 5 1 0 0 2 3 0 0 0], [0 4 2 4 0 0 4 4 0 0], [1 0 1 0 9 0 0 1 0 9]

Simulation 10, V_0, V_1, V_2, MP_
Initial Goals, [5 0 1 0 0], [0 3 0 5 0], [0 2 3 0 2], [5 3 3 5 2]
Goals Achieved, [0 0 1 0 0], [0 2 0 5 0], [0 1 3 0 1], [10  1  0  0  1]

Simulation 14, V_0, V_1, V_2, MP_
Initial Goals, [5 3 1 4 0], [5 2 5 0 2], [1 1 0 3 5], [5 3 5 4 5]
Goals Achieved, [0 3 0 4 0], [0 2 0 0 2], [0 1 0 3 5], [10  0  9  0  0]

Simulation 37, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 0 0 0 0 0 0 5 0 0 1 0 0], [ 0  0  0  0 19  0  0  3 19  0  0  0  0  0  0], [ 0  0  7  0 12  0  0  0  0  0  0  0  3  0  0], [ 0  0  7  0 19  0  0  3 19  5  0  0  3  0  0]
Goals Achieved, [0 0 0 0 0 0 0 0 0 5 0 0 1 0 0], [ 0  0  0  0 19  0  0  3 12  0  0  0  0  0  0], [ 0  0  7  0 12  0  0  0  0  0  0  0  3  0  0], [ 1  0  0  0  0 10  0  0  7  0  0  0  0  0  0]

Simulation 52, V_0, V_1, V_2, MP_
Initial Goals, [ 0  0  0  0  0  0  0  0 10  0 14  6  2  1  0  0  0  0  0  0], [ 0 10  0  0  0  0  6  0  0  4 11  0  0  0  0  0  0  0  4  0], [9 0 0 0 0 0 0 0 0 1 0 0 0 0 8 0 0 0 6 0], [ 9 10  0  0  0  0  6  0 10  4 14  6  2  1  8  0  0  0  6  0]
Goals Achieved, [ 0  0  0  0  0  0  0  0 10  0 14  6  2  0  0  0  0  0  0  0], [ 0 10  0  0  0  0  6  0  0  4 11  0  0  0  0  0  0  0  4  0], [9 0 0 0 0 0 0 0 0 1 0 0 0 0 7 0 0 0 6 0], [0 0 5 0 9 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0]

Simulation 38, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 5 2 0 0 1 0 0 0 5 0 2 0], [0 0 0 0 0 0 2 1 0 4 5 1 0 0 0], [0 0 3 0 4 5 0 0 0 3 0 0 3 5 0], [0 0 3 5 4 5 2 1 0 4 5 5 3 5 0]
Goals Achieved, [0 0 0 5 2 0 0 1 0 0 0 2 0 2 0], [0 0 0 0 0 0 2 1 0 1 4 0 0 0 0], [0 0 3 0 4 5 0 0 0 0 0 0 0 5 0], [0 0 0 0 0 0 0 0 0 3 1 3 9 0 1]

Simulation 18, V_0, V_1, V_2, MP_
Initial Goals, [5 0 1 0 0 0 0 0 0 0], [0 0 0 5 0 0 0 3 0 0], [2 0 2 0 0 0 0 0 0 0], [5 0 2 5 0 0 0 3 0 0]
Goals Achieved, [5 0 0 0 0 0 0 0 0 0], [0 0 0 5 0 0 0 3 0 0], [2 0 0 0 0 0 0 0 0 0], [ 0  9 10  0  0  0  0  0  0  1]

Simulation 7, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0], [0 0 3 9 0], [0 4 0 0 3], [9 4 3 9 3]
Goals Achieved, [0 0 2 0 0], [0 0 3 9 0], [0 4 0 0 0], [10  0  0  0 10]

Simulation 34, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 0 0 2 0 0 0 0 3 0 0 0 2], [0 0 0 0 2 0 0 5 0 3 0 0 0 0 0], [1 0 0 0 2 0 0 0 0 0 0 0 1 0 0], [1 0 0 0 2 2 0 5 0 3 3 0 1 0 2]
Goals Achieved, [0 0 0 0 0 2 0 0 0 0 0 0 0 0 2], [0 0 0 0 2 0 0 0 0 3 0 0 0 0 0], [1 0 0 0 2 0 0 0 0 0 0 0 1 0 0], [0 1 0 0 0 0 0 5 0 0 9 0 0 0 0]

Simulation 36, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 1 0 0 0 0 0 3 0 0 0 0 1], [5 2 0 0 0 0 0 0 0 0 0 0 0 0 0], [ 0  4  0  0  0  0  0  0  0 11  0  0  0  0  0], [ 5  4  0  1  0  0  0  0  0 11  0  0  0  0  1]
Goals Achieved, [0 0 0 1 0 0 0 0 0 3 0 0 0 0 1], [5 2 0 0 0 0 0 0 0 0 0 0 0 0 0], [ 0  4  0  0  0  0  0  0  0 11  0  0  0  0  0], [0 0 0 0 0 0 1 0 9 0 1 0 0 0 0]

Simulation 5, V_0, V_1, V_2, MP_
Initial Goals, [18  0  0  0  0], [3 0 0 0 0], [ 0  0  0  0 14], [18  0  0  0 14]
Goals Achieved, [15  0  0  0  0], [0 0 0 0 0], [ 0  0  0  0 14], [3 4 4 5 0]

Simulation 3, V_0, V_1, V_2, MP_
Initial Goals, [9 0 0 0 0], [2 0 0 0 0], [0 0 0 0 7], [9 0 0 0 7]
Goals Achieved, [8 0 0 0 0], [1 0 0 0 0], [0 0 0 0 7], [1 9 0 4 0]

