episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,1,5000,5000,5000,False,0,1,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-16-12,1666793772,8.374614715576172,8.374614715576172,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,8.374614715576172,5000,1,8.985057353973389,[],[],5853.98,854.12,0.167,29959314.286,2499.078,2000.738,6.981,5000,5000,5000,5000,5000,30.725000000000005,84.94166666666665,500.0,0.5,4.999999873689376e-05,7.5297685,-0.000875958,7.5439124,-0.006605532,0.0011664953,1.3850931,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,10000,5000,10000,False,1,2,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-16-20,1666793780,7.99533486366272,16.36994957923889,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,16.36994957923889,10000,2,8.985057353973389,[-72010.0],[7201],6985.786,715.739,0.163,30682545.721,2448.577,2042.003,9.078,10000,10000,10000,5000,10000,40.09166666666666,85.22500000000001,500.0,0.25,4.999999873689376e-05,6.3131385,-0.0009534937,6.327522,-0.012172005,0.0015940588,1.3830209,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,15000,5000,15000,False,2,3,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-16-34,1666793794,14.585636138916016,30.955585718154907,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,30.955585718154907,15000,3,8.985057353973389,"[-72010.0, -72010.0]","[7201, 7201]",9545.572,523.803,0.162,30870736.016,2437.29,2051.459,7.803,15000,15000,15000,5000,15000,56.709523809523816,85.9047619047619,500.0,0.125,4.999999873689376e-05,6.1101975,5.2835978e-05,6.1237817,-0.02064909,0.0014346044,1.3816141,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,20000,5000,20000,False,2,4,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-16-43,1666793803,8.263981103897095,39.219566822052,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,39.219566822052,20000,4,8.985057353973389,"[-72010.0, -72010.0]","[7201, 7201]",9311.681,536.96,0.164,30504029.091,2355.196,2122.966,7.078,20000,20000,20000,5000,20000,38.09166666666667,85.59166666666665,500.0,0.0625,4.999999873689376e-05,5.580658,-0.0001591104,5.5945616,-0.09230112,0.0015595296,1.3842827,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,25000,5000,25000,False,3,5,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-16-50,1666793810,7.863569498062134,47.083136320114136,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,47.083136320114136,25000,5,8.985057353973389,"[-72010.0, -72010.0, -72010.0]","[7201, 7201, 7201]",9004.673,555.267,0.161,30977134.417,2330.387,2145.566,6.647,25000,25000,25000,5000,25000,36.127272727272725,85.59090909090911,500.0,0.03125,4.999999873689376e-05,5.311758,-0.00083028874,5.3263717,-0.07667349,0.0016115493,1.3833176,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,30000,5000,30000,False,4,6,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-16-58,1666793818,7.636117219924927,54.71925354003906,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,54.71925354003906,30000,6,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201]",8802.998,567.988,0.162,30939050.897,2293.951,2179.645,6.347,30000,30000,30000,5000,30000,36.77272727272727,85.55454545454545,500.0,0.015625,4.999999873689376e-05,5.226524,-0.0005677095,5.2408695,-0.024245305,0.0014216355,1.3799641,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,35000,5000,35000,False,4,7,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-06,1666793826,7.716592788696289,62.43584632873535,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,62.43584632873535,35000,7,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201]",8650.144,578.025,0.161,30977134.417,2271.386,2201.299,6.109,35000,35000,35000,5000,35000,35.93636363636364,85.44545454545454,500.0,0.0078125,4.999999873689376e-05,4.5970726,-0.0018121428,4.612679,-0.23600987,0.0020361745,1.3810648,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,40000,5000,40000,False,5,8,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-14,1666793834,7.780066013336182,70.21591234207153,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,70.21591234207153,40000,8,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201]",8549.444,584.833,0.163,30744394.356,2250.17,2222.055,5.922,40000,40000,40000,5000,40000,36.51818181818181,85.08181818181819,500.0,0.00390625,4.999999873689376e-05,4.3898354,-0.00011854176,4.403703,-0.2541957,0.0019865865,1.3757071,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,45000,5000,45000,False,6,9,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-22,1666793842,7.956626653671265,78.1725389957428,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,78.1725389957428,45000,9,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201]",8477.515,589.796,0.164,30570728.863,2243.221,2228.938,5.783,45000,45000,45000,5000,45000,35.17272727272727,84.70909090909092,500.0,0.001953125,4.999999873689376e-05,4.307747,-0.0009618556,4.3224344,-0.27147636,0.0015593172,1.3729091,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,50000,5000,50000,False,6,10,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-30,1666793850,7.8027098178863525,85.97524881362915,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,85.97524881362915,50000,10,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201]",8416.829,594.048,0.164,30442038.032,2234.015,2238.122,5.654,50000,50000,50000,5000,50000,41.86666666666667,84.88333333333334,500.0,0.0009765625,4.999999873689376e-05,3.6958015,-0.001279507,3.7107487,-0.38214397,0.0018075578,1.3669827,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,55000,5000,55000,False,7,11,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-37,1666793857,7.378575563430786,93.35382437705994,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,93.35382437705994,55000,11,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201]",8575.239,583.074,0.165,30393507.246,2196.928,2275.906,5.401,55000,55000,55000,5000,55000,35.94,85.01999999999998,500.0,0.00048828125,4.999999873689376e-05,3.7521985,-0.0011154322,3.766913,-0.24237837,0.0016118627,1.3599539,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,60000,5000,60000,False,8,12,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-45,1666793865,7.766895771026611,101.12072014808655,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,101.12072014808655,60000,12,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8540.859,585.421,0.173,28826831.615,2172.382,2301.621,4.755,60000,60000,60000,5000,60000,36.17272727272728,84.88181818181818,500.0,0.000244140625,4.999999873689376e-05,3.5555475,-0.00092824874,3.5700629,-0.48084763,0.0012457329,1.358738,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,65000,5000,65000,False,9,13,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-17-52,1666793872,7.710479974746704,108.83120012283325,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,108.83120012283325,65000,13,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7854.107,636.61,0.173,28922245.208,2140.856,2335.514,4.736,65000,65000,65000,5000,65000,35.9,84.78181818181818,500.0,0.0001220703125,4.999999873689376e-05,3.4412544,-0.0016394546,3.4564855,-0.6190506,0.0016244918,1.3592299,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,70000,5000,70000,False,9,14,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-00,1666793880,7.732621192932129,116.56382131576538,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,116.56382131576538,70000,14,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7762.466,644.125,0.172,29139252.466,2147.829,2327.932,4.722,70000,70000,70000,5000,70000,36.4,84.73636363636365,500.0,6.103515625e-05,4.999999873689376e-05,3.231709,-0.0013728103,3.2466269,-0.51202697,0.0019886422,1.3545161,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,75000,5000,75000,False,10,15,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-08,1666793888,7.784321546554565,124.34814286231995,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,124.34814286231995,75000,15,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7765.031,643.912,0.173,28982200.111,2143.868,2332.233,4.775,75000,75000,75000,5000,75000,40.59166666666667,84.65,500.0,3.0517578125e-05,4.999999873689376e-05,3.421676,-0.0010370594,3.436189,-0.14282198,0.0020190608,1.3476014,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,80000,5000,80000,False,11,16,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-16,1666793896,7.757071256637573,132.10521411895752,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,132.10521411895752,80000,16,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7765.113,643.906,0.173,28918257.033,2151.921,2323.505,4.759,80000,80000,80000,5000,80000,35.981818181818184,84.6909090909091,500.0,1.52587890625e-05,4.999999873689376e-05,3.1159768,-0.00078622595,3.1302,-0.32689896,0.0020560152,1.3436406,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,85000,5000,85000,False,11,17,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-24,1666793904,7.796899080276489,139.902113199234,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,139.902113199234,85000,17,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7782.354,642.479,0.173,28830794.611,2149.668,2325.94,4.762,85000,85000,85000,5000,85000,36.627272727272725,84.63636363636364,500.0,7.62939453125e-06,4.999999873689376e-05,3.2208827,-0.0016295528,3.2357306,-0.34260124,0.0033484453,1.3218377,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,90000,5000,90000,False,12,18,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-18-31,1666793911,7.762830495834351,147.66494369506836,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,147.66494369506836,90000,18,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",7773.416,643.218,0.173,28830794.611,2155.375,2319.782,4.799,90000,90000,90000,5000,90000,36.345454545454544,84.73636363636363,500.0,3.814697265625e-06,4.999999873689376e-05,3.13746,-0.0019945612,3.1527293,-0.11205372,0.003207393,1.3274665,0.009999999776482582
